,classifier,data_stream,ROC_AUC,ROC_AUC_training,hamming_loss,hamming_loss_training,best_params
48,LogisticRegression,fil02-wavelet-meta-ecg,0.8634050832909441,0.8979431761222247,0.15766944114149822,0.13844781445138268,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__C': 0.1, 'onevsrestclassifier__estimator__penalty': 'l1'}"
49,RandomForestClassifier,fil02-wavelet-meta-ecg,0.8585855565849491,0.9999998702992766,0.16860879904875148,0.0001784121320249777,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__n_estimators': 200}"
50,AdaBoostClassifier,fil02-wavelet,0.8292396373608598,0.9185049270286185,0.18097502972651605,0.1368421052631579,"{'onevsrestclassifier__estimator__n_estimators': 50, 'pipeline__pca': 'passthrough'}"
51,GaussianNB,fil02-wavelet,0.7536411615638039,0.7369754673866815,0.23828775267538643,0.25899494498959263,{'pipeline__pca': 'passthrough'}
52,KNeighborsClassifier,fil02-wavelet,0.7748991562969627,0.900761986545119,0.187871581450654,0.16598275349390426,"{'onevsrestclassifier__estimator__n_neighbors': 7, 'pipeline__pca': PCA(n_components=0.9, svd_solver='full')}"
53,LogisticRegression,fil02-wavelet,0.8570106327042003,0.907247038143687,0.16099881093935792,0.13154921201308356,"{'onevsrestclassifier__estimator__C': 0.01, 'onevsrestclassifier__estimator__penalty': 'l2', 'pipeline__pca': 'passthrough'}"
54,RandomForestClassifier,fil02-wavelet,0.8596607696665718,0.9999998702992766,0.1681331747919144,0.0001784121320249777,"{'onevsrestclassifier__estimator__n_estimators': 200, 'pipeline__pca': 'passthrough'}"
55,AdaBoostClassifier,raw01-MR-meta-ecg,0.6991999235389283,0.6872671889967925,0.31010701545778835,0.3062741599762117,"{'columntransformer__num__pca': PCA(n_components=0.95, svd_solver='full'), 'onevsrestclassifier__estimator__n_estimators': 50}"
56,GaussianNB,raw01-MR-meta-ecg,0.5160871092377942,0.5137036247151026,0.7343638525564804,0.7155515908415105,"{'columntransformer__num__pca': PCA(n_components=0.95, svd_solver='full')}"
57,KNeighborsClassifier,raw01-MR-meta-ecg,0.6125606001018774,0.6515867552791735,0.30963139120095123,0.280225988700565,"{'columntransformer__num__pca': PCA(n_components=0.9, svd_solver='full'), 'onevsrestclassifier__estimator__n_neighbors': 1}"
58,LogisticRegression,raw01-MR-meta-ecg,0.5,0.5,0.25731272294887036,0.2600059470710675,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__C': 0.001, 'onevsrestclassifier__estimator__penalty': 'l1'}"
59,RandomForestClassifier,raw01-MR-meta-ecg,0.5160344017757901,0.5200581694680777,0.5693222354340072,0.5653880463871543,"{'columntransformer__num__pca': PCA(n_components=0.95, svd_solver='full'), 'onevsrestclassifier__estimator__n_estimators': 50}"
60,SGDClassifier,raw01-MR-meta-ecg,,,0.22758620689655173,0.2430567945286946,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__alpha': 0.1, 'onevsrestclassifier__estimator__penalty': 'l1'}"
61,AdaBoostClassifier,raw01-MR,0.6856616556648583,0.6850101792333848,0.3759809750297265,0.36532857567647936,"{'onevsrestclassifier__estimator__n_estimators': 50, 'pipeline__pca': PCA(n_components=0.95, svd_solver='full')}"
62,GaussianNB,raw01-MR,0.5161290322580645,0.5136256773272555,0.7343638525564804,0.7155515908415105,"{'pipeline__pca': PCA(n_components=0.95, svd_solver='full')}"
63,KNeighborsClassifier,raw01-MR,0.6122099947857327,0.6502153136597495,0.3098692033293698,0.28171275646743976,"{'onevsrestclassifier__estimator__n_neighbors': 1, 'pipeline__pca': PCA(n_components=0.9, svd_solver='full')}"
